Cell Line,Inhibitor,Run,Stimulus,Timepoint,AB1,AB2,AB3,AB4,AB5,AB6,AB7,AB8,AB9,AB10,AB11,AB12,AB13,AB14,AB15,AB16,AB17,AB18,AB19,AB20
inSilico,INH2,C,hiLIG1,0min,519.191674,423.55889,452.854159,454.545176,408.185412,504.316652,459.661531,510.447488,469.711573,486.985096,498.499479,467.05922,507.179579,411.911802,442.297229,510.485504,387.974691,787.063994,431.162915,427.022824
inSilico,INH3,A,loLIG1,0min,471.379627,472.32584,433.853782,439.649361,552.692832,401.397112,401.298095,459.583089,584.72938,525.138689,474.805864,465.606439,563.910975,447.013328,499.703409,446.212325,494.488703,875.847376,419.520216,491.864506
inSilico,INH3,B,loLIG1,0min,452.724689,439.246952,524.906926,458.972758,445.615743,460.251289,455.739302,393.493867,614.056806,456.838605,434.080116,348.178047,528.184941,485.339825,442.04228,532.086406,509.014309,796.672371,478.702298,452.34915
inSilico,INH3,C,loLIG1,0min,489.113156,441.669934,473.340818,420.859322,531.443155,444.35304,548.592246,493.207935,491.879854,504.905443,465.342837,441.456497,616.585004,461.433612,465.963838,395.137667,488.366947,792.413487,449.539806,508.112274
inSilico,INH3,A,hiLIG1,0min,429.799784,438.442433,507.5441,509.92846,416.172929,471.024195,433.899674,536.099054,497.824398,466.454278,442.794479,382.392369,465.433635,474.360375,424.688383,403.283015,484.227716,769.283242,405.693823,470.789879
inSilico,INH3,B,hiLIG1,0min,459.43588,444.911105,502.087228,468.18275,441.007101,523.670693,525.273841,399.277661,521.083123,483.877116,479.033915,430.909308,449.790338,404.154982,488.564575,471.956938,515.195099,881.430674,501.291885,459.219193
inSilico,INH3,C,hiLIG1,0min,550.927278,434.836638,510.335387,454.096179,461.563099,453.618337,465.561476,404.448361,604.926632,449.543176,533.77629,424.980506,441.125042,467.202336,485.836043,443.743719,423.055202,854.75071,482.770714,510.574481
inSilico,,A,loLIG2,0min,495.667512,439.70787,425.820395,478.468184,503.430334,498.273395,479.186059,553.293395,593.713538,444.69681,444.856013,389.42427,514.973752,501.148353,454.066396,492.125409,508.828312,831.821707,482.514472,471.398131
inSilico,,B,loLIG2,0min,448.325156,454.217044,417.655167,457.788111,492.115876,445.699979,523.24076,496.03756,542.442852,494.176473,443.564205,457.304527,541.244688,473.971197,437.649014,443.374066,526.692092,849.04819,456.525799,519.385445
inSilico,,C,loLIG2,0min,434.701585,449.194881,516.47872,467.299816,571.327834,414.516501,461.450998,428.218996,611.133359,495.081446,432.078753,397.863212,561.024399,483.498152,416.716252,564.32699,466.417928,816.152888,437.300366,430.984476
inSilico,,A,hiLIG2,0min,471.547543,429.343195,437.500898,476.581668,499.67969,426.689929,421.816024,488.317701,517.502648,502.132025,510.675413,485.153096,550.894466,482.357063,374.003098,484.252928,440.305448,793.128672,473.339423,462.546915
inSilico,,B,hiLIG2,0min,433.696407,461.403146,508.389392,427.270275,452.49174,474.906629,458.310725,513.020075,587.992153,416.612255,428.614775,434.942605,496.228411,495.375869,462.57703,542.593186,429.235024,726.302103,442.90112,459.025259
inSilico,,C,hiLIG2,0min,454.520009,493.590921,515.447168,497.458735,485.041324,494.055409,484.161589,467.961032,522.225452,442.535337,473.254967,411.87651,546.632592,446.142174,460.94214,490.026997,420.961467,868.017993,469.605168,446.493141
inSilico,INH1,A,loLIG2,0min,443.831517,493.583281,549.459553,425.203929,442.026657,427.670842,447.141868,410.606436,536.264966,576.238518,433.563523,416.24884,563.274209,425.698201,458.547889,490.481583,447.44539,706.905039,409.661886,483.042382
inSilico,INH1,B,loLIG2,0min,514.808746,481.902308,455.390235,468.492178,423.535313,455.509238,492.507189,498.920219,518.836131,456.921728,438.616556,487.477228,477.266841,468.998733,439.089548,468.761196,469.517516,925.790037,448.814539,419.539371
inSilico,INH1,C,loLIG2,0min,530.489578,457.172072,447.068757,462.038984,445.955113,454.310658,475.643299,499.496848,614.46467,515.390807,498.296809,426.077931,444.431566,485.711209,493.410573,409.253856,511.595138,858.39837,548.830825,475.944035
inSilico,INH1,A,hiLIG2,0min,486.532491,525.889655,429.805839,482.570868,559.107394,523.406048,529.198476,466.607044,534.719884,418.971759,409.846883,509.622975,488.904388,420.661603,437.602356,475.336729,488.353504,741.349742,445.270254,531.169905
inSilico,INH1,B,hiLIG2,0min,483.036123,465.122303,472.030611,496.322245,462.944089,486.944635,559.505607,472.42382,468.868178,452.62269,401.751293,454.094749,475.168472,483.08037,448.026438,470.873434,397.972406,705.827767,368.675884,458.538153
inSilico,INH1,C,hiLIG2,0min,432.359087,490.088055,554.237539,440.12755,505.55903,432.270925,558.291678,457.130786,554.028789,412.250695,544.093605,525.06508,519.750008,473.554374,442.350507,447.046288,515.433883,763.714238,493.550261,523.415284
inSilico,INH2,A,loLIG2,0min,418.407555,383.461675,536.571789,398.103356,457.764765,444.908289,452.694792,535.759376,626.736142,483.55174,492.999569,454.74733,473.578149,469.597365,482.735382,439.363144,472.312033,829.90386,537.456495,504.810576
inSilico,INH2,B,loLIG2,0min,438.0179,440.993153,519.415899,408.146608,410.866654,443.844758,438.280633,427.589936,594.314881,559.423633,372.546595,500.762552,557.799239,473.533018,525.337552,491.169963,496.972651,857.932669,559.731004,469.168582
inSilico,INH2,C,loLIG2,0min,472.622668,435.7336,468.866144,462.837362,420.395908,390.185876,600.733893,466.756616,514.655105,484.933087,475.321888,444.799786,567.891748,484.727939,503.551858,457.02028,470.98624,769.040064,492.147314,468.613009
inSilico,INH2,A,hiLIG2,0min,502.786077,456.289898,422.000597,470.446815,509.761941,447.31018,433.13415,510.052812,464.664116,426.281435,413.955214,472.368777,486.743062,493.288918,511.291844,448.168041,414.41725,624.349293,507.622355,505.926618
inSilico,INH2,B,hiLIG2,0min,411.0524,490.311135,466.732236,443.201047,419.766745,417.454259,438.794024,474.239833,444.965152,513.095795,473.884184,483.805673,561.80386,440.449577,440.186351,495.340438,451.88742,762.580177,464.435625,506.661151
inSilico,INH2,C,hiLIG2,0min,451.434547,509.275945,490.243789,444.841817,512.113579,482.868969,486.004334,447.079584,573.022422,448.46698,453.767569,472.764861,443.573574,486.45131,483.929637,390.404151,429.831454,772.240834,498.425025,483.495681
inSilico,INH3,A,loLIG2,0min,485.254937,442.344904,418.884524,556.501221,509.945147,410.181748,422.400492,517.430583,516.455654,417.59777,508.36648,513.691452,489.08,451.416027,489.54206,476.79569,451.868611,921.118369,457.520431,478.619935
inSilico,INH3,B,loLIG2,0min,521.53791,423.195408,409.297043,508.276352,552.54935,436.278129,520.966111,485.030737,558.368691,397.696203,478.897454,411.805875,512.991817,514.117411,413.545534,495.862904,425.017265,689.628141,461.530085,479.863068
inSilico,INH3,C,loLIG2,0min,482.715443,392.083468,438.412459,513.739919,474.587741,461.294987,436.023736,455.117087,558.482779,473.125587,432.634223,482.126566,568.632768,461.749014,464.288385,503.27973,482.689366,837.801111,429.076303,492.291519
inSilico,INH3,A,hiLIG2,0min,449.731372,448.924155,401.583258,412.157416,412.779987,516.041192,554.985353,474.091218,460.95792,474.800209,405.809963,433.799373,592.009784,469.26228,447.96969,508.708724,477.245118,786.477912,473.403274,487.281585
inSilico,INH3,B,hiLIG2,0min,461.41793,471.499653,400.050031,493.170346,436.166962,444.314909,505.945948,409.870831,551.379628,520.637852,486.453163,377.112232,519.926201,470.670925,411.781307,443.335548,481.655703,874.656265,497.315919,510.895674
inSilico,INH3,C,hiLIG2,0min,510.965128,576.011413,483.444181,483.039035,418.588927,531.799686,469.142326,488.715009,470.848329,500.256016,524.075548,413.404747,540.469437,389.75464,500.781227,428.660222,514.584927,768.463473,451.476026,477.606213
inSilico,,A,loLIG1+loLIG2,0min,479.865959,447.057454,533.553468,429.805814,518.482658,484.733544,446.219087,485.257751,436.562345,461.533862,406.798264,502.265421,523.589257,500.465615,490.195669,430.813558,501.32463,750.207401,508.109499,541.428423
inSilico,,B,loLIG1+loLIG2,0min,466.511126,444.373414,410.876901,441.799135,422.967543,437.100112,467.757367,481.914749,626.230944,395.34605,493.487932,515.468884,583.203749,446.238919,416.003633,448.262227,463.089289,894.587024,471.526072,527.718291
inSilico,,C,loLIG1+loLIG2,0min,514.062401,454.243619,438.40101,518.845107,450.607478,447.82577,442.15924,397.538717,556.170852,366.634414,458.295946,395.956745,561.210682,478.801639,429.530819,449.051293,482.504502,743.466181,496.139536,409.289371
inSilico,,A,hiLIG1+hiLIG2,0min,448.976622,482.051999,392.661333,544.099425,437.877061,496.381995,610.92497,464.285976,577.749525,476.059241,429.8597,464.27801,498.396503,514.652632,477.820592,465.108589,531.968014,702.395529,483.948357,440.306816
inSilico,,B,hiLIG1+hiLIG2,0min,546.230013,406.515185,421.636799,486.880192,422.421946,438.605669,523.051622,510.258947,552.950284,505.692817,443.982374,477.542922,518.581006,466.227483,445.407014,500.955266,520.755578,857.409765,470.95683,419.137208
inSilico,,C,hiLIG1+hiLIG2,0min,561.830527,488.803434,574.281549,493.604171,466.646225,512.559622,500.53778,471.595925,587.033822,477.616071,487.611924,420.71835,461.808616,441.41136,503.154507,564.040788,525.372719,793.19416,530.108677,482.209338
inSilico,,A,hiLIG1+loLIG2,0min,533.860507,449.658555,518.10228,425.306073,477.66497,515.580779,417.711282,459.364732,488.977968,466.042305,429.84124,517.11497,587.862342,511.734881,422.913123,483.628255,496.843601,787.762218,450.886289,447.62615
inSilico,,B,hiLIG1+loLIG2,0min,468.358679,444.207528,433.418782,529.011275,431.851472,469.811385,405.818484,434.888023,574.102223,437.685645,605.634992,494.578449,547.480652,450.776497,410.32761,375.572816,445.70406,770.342522,498.936994,430.446797
inSilico,,C,hiLIG1+loLIG2,0min,537.389696,466.6879,458.976542,499.605516,466.591279,472.267473,492.111698,436.122024,565.022354,508.393842,478.902782,379.149109,474.90992,504.336026,475.324479,409.664675,429.578268,842.160269,460.572013,483.544699
inSilico,,A,loLIG1+hiLIG2,0min,455.769437,468.264308,500.44849,465.215227,476.835958,443.86526,484.370521,455.251846,504.735364,449.710916,404.034354,437.739512,418.726858,392.113434,463.404945,524.441689,366.454007,746.716582,509.203902,487.495524
inSilico,,B,loLIG1+hiLIG2,0min,489.093314,429.432258,490.659459,446.570098,453.31612,422.406566,559.983058,421.771591,575.604351,488.166704,439.870756,439.086945,531.4074,499.219224,487.193457,480.431305,494.530902,863.573553,482.794496,414.148633
inSilico,,C,loLIG1+hiLIG2,0min,409.350107,398.613209,425.29784,531.493271,478.521356,489.044923,486.155523,465.402999,553.162382,517.354968,420.408071,448.773117,558.850979,403.324009,429.862758,486.429748,426.575238,814.506388,499.664886,446.08501
inSilico,,A,loLIG1,1min,452.004018,440.739431,410.150576,491.215878,435.341884,721.74014,419.380097,472.124545,577.968071,428.908432,557.003706,459.813256,475.412931,433.126148,434.006351,565.367144,528.439965,744.722655,447.442133,465.566211
inSilico,,B,loLIG1,1min,459.201945,477.775583,427.145628,492.225007,465.091267,617.448133,471.556363,496.335921,611.551115,413.324059,437.456098,481.21663,526.244292,515.744876,493.550356,603.815002,527.260117,766.17361,544.08059,498.486025
inSilico,,C,loLIG1,1min,445.830085,489.210005,422.49099,470.738118,433.053762,567.739205,493.847196,530.195558,579.497359,495.858433,470.273075,493.88784,537.233775,420.940889,441.807025,600.735581,500.402889,724.693334,436.984947,475.159378
inSilico,,A,hiLIG1,1min,430.020574,444.761044,476.656569,537.053411,689.248505,861.638379,488.508752,906.696897,534.886326,436.943123,598.014864,1037.375276,524.00918,491.494364,709.699178,3169.056658,485.095155,898.413453,754.736372,500.057318
inSilico,,B,hiLIG1,1min,513.184173,470.433303,479.99152,514.284913,585.510205,968.048369,411.541857,1046.238301,590.631059,457.794902,655.967607,1037.016218,516.30574,403.736201,742.625383,2899.776668,459.938696,831.054138,736.296752,472.903166
inSilico,,C,hiLIG1,1min,489.257151,541.993936,474.560432,475.68478,625.796457,940.102207,526.132403,952.234519,422.583267,482.962399,610.972826,937.856816,518.005801,453.061467,694.61284,2804.832863,569.681421,858.978132,770.939855,486.341049
inSilico,INH1,A,loLIG1,1min,475.683166,457.699315,491.453667,537.374933,441.556453,480.736536,512.730188,512.156963,584.570048,478.256,394.837536,475.192079,529.102462,465.693246,433.443967,443.23722,509.31725,908.909148,469.074389,438.568884
inSilico,INH1,B,loLIG1,1min,439.72959,456.317324,431.310602,478.948906,444.232534,444.583092,487.227206,454.617841,479.701629,473.91342,556.30844,523.998336,518.522783,453.215651,475.945949,393.087899,528.385044,758.012387,434.553419,478.134054
inSilico,INH1,C,loLIG1,1min,450.143358,437.065685,463.048805,524.043759,479.333265,411.677026,517.39051,472.830697,524.479245,453.820297,480.820769,370.141578,581.059162,428.866587,461.08434,444.298507,503.258289,777.264509,457.960393,494.787488
inSilico,INH1,A,hiLIG1,1min,463.167102,491.198391,482.908917,449.428848,434.340831,499.555544,417.576475,490.337176,532.75931,483.537731,520.54673,393.810554,560.439774,642.871164,474.02518,492.975443,496.340585,799.24515,484.701833,403.537772
inSilico,INH1,B,hiLIG1,1min,422.010569,503.457373,442.846939,426.656107,490.011682,552.065347,441.525775,528.308139,538.050797,471.381999,474.192743,383.467742,493.020434,435.403894,432.359436,520.934557,579.334428,736.435425,502.281837,464.464681
inSilico,INH1,C,hiLIG1,1min,462.189919,427.757356,504.353339,518.00611,505.634753,485.253121,479.297313,487.921515,535.334159,471.788687,505.309371,467.114162,621.884733,535.992097,429.628998,486.415393,539.209831,792.689238,413.82649,473.835801
inSilico,INH2,A,loLIG1,1min,418.468775,422.193664,434.550029,457.727502,560.636311,569.095787,449.088381,484.266229,580.196745,458.004233,400.910927,484.923052,519.179617,503.236522,563.625417,503.80964,465.337721,861.302166,465.060947,534.968367
inSilico,INH2,B,loLIG1,1min,462.212002,476.704981,433.976488,521.482583,445.038194,614.834171,450.281071,543.925283,516.671463,450.353334,501.145348,467.480717,488.365951,501.07709,446.614633,493.6257,559.215586,898.520175,456.183716,530.243175
inSilico,INH2,C,loLIG1,1min,474.156989,527.847273,483.791656,493.721657,449.032433,545.614215,462.248116,537.10191,570.352003,436.672961,462.391523,482.86306,428.073832,441.415273,522.399863,471.544287,601.668487,804.919452,549.804701,530.963634
inSilico,INH2,A,hiLIG1,1min,477.808404,458.937839,531.781287,536.991424,429.215122,825.53632,479.087797,805.551363,510.489701,507.591287,664.494803,1021.727217,614.388366,458.318804,612.611884,2790.41943,495.321259,815.436131,718.696773,445.787822
inSilico,INH2,B,hiLIG1,1min,503.739667,477.979677,470.195691,491.577533,470.120305,809.444066,465.832418,932.57852,522.262152,470.501304,622.974845,1221.632263,574.342761,467.097492,728.806027,3272.19695,493.799607,708.778602,592.879593,558.919808
inSilico,INH2,C,hiLIG1,1min,469.188489,471.457464,460.077248,475.135394,455.462016,784.169823,557.868115,1037.469101,523.72134,424.618831,549.361855,966.735585,451.074275,406.478806,603.585695,3101.059296,573.822452,647.27592,685.23088,565.214597
inSilico,INH3,A,loLIG1,1min,430.763733,437.436421,513.912209,476.77737,486.2633,1312.342445,506.32723,532.575188,532.154956,499.463747,542.583667,437.193137,516.956155,451.043519,463.881299,549.040361,521.459985,923.202722,455.891504,521.202779
inSilico,INH3,B,loLIG1,1min,434.984692,405.475914,582.165134,504.205153,499.444641,1337.723664,463.221178,432.93305,532.065635,487.92588,481.357559,450.232552,459.578153,465.435245,449.719571,503.243206,481.182575,813.178999,454.070815,499.562378
inSilico,INH3,C,loLIG1,1min,524.261338,447.48697,445.673361,473.162864,515.981209,1186.910675,427.570461,478.368013,615.20725,488.986539,450.366571,438.921883,555.68746,431.919551,530.583622,574.810928,546.353445,699.581456,483.809418,554.617815
inSilico,INH3,A,hiLIG1,1min,461.648659,456.681369,440.610367,447.868953,628.615491,3221.286862,521.154419,423.190055,526.958524,489.280598,560.317633,890.465517,491.334645,452.685964,713.795983,476.956031,1028.348163,810.412352,465.71259,518.65809
inSilico,INH3,B,hiLIG1,1min,437.833725,454.816869,430.041289,393.510846,666.175121,2380.724699,472.619586,484.945242,547.631542,505.457763,619.621582,1149.096112,520.690526,427.051734,785.243666,504.720786,1218.042051,929.328463,430.243321,479.352709
inSilico,INH3,C,hiLIG1,1min,464.450265,434.935717,620.388521,440.933636,667.276866,3004.616741,479.240547,498.588398,597.729359,498.437726,708.826972,1099.656037,534.496027,450.735515,631.871274,440.638293,969.357346,960.328442,416.16433,488.225667
inSilico,,A,loLIG2,1min,503.710705,464.055931,440.609763,497.874466,499.558466,483.107882,472.975945,546.240395,587.225767,501.735526,482.648365,390.964038,580.499863,462.437798,409.861288,541.820649,610.922542,833.621095,428.807998,463.580924
inSilico,,B,loLIG2,1min,430.293649,417.692531,520.292837,427.27255,513.495377,458.361054,458.505628,481.988797,531.383908,460.974021,374.004894,440.412736,545.09368,433.465175,490.590779,523.723407,473.676652,739.153455,477.156424,437.084514
inSilico,,C,loLIG2,1min,455.627234,434.256245,559.968463,479.450921,482.5773,559.910311,585.085928,451.615206,491.544414,446.894679,406.803363,495.331154,525.17383,427.749591,489.65705,560.961311,461.066681,847.201036,526.560959,392.244863
inSilico,,A,hiLIG2,1min,509.570708,444.346383,400.452892,463.843174,424.129062,660.563041,496.236162,606.465889,505.008229,516.885061,528.418665,456.337238,555.052559,475.64864,501.034936,844.055945,519.498761,844.835256,530.601375,519.279345
inSilico,,B,hiLIG2,1min,418.380679,517.756841,391.409938,504.457054,440.088819,838.742191,527.207144,504.981638,535.012127,529.150811,585.258235,412.872915,545.627337,514.845159,429.870368,850.783707,534.886258,766.395099,444.415499,555.380165
inSilico,,C,hiLIG2,1min,462.521696,472.199513,524.028546,561.808325,476.862387,769.802422,479.359345,688.102005,528.234091,407.296589,592.799718,468.630333,553.603839,446.946847,497.93566,814.340729,502.856325,708.950264,476.242881,447.287584
inSilico,INH1,A,loLIG2,1min,483.411822,570.187166,531.432231,468.859057,494.302564,491.320538,473.297112,495.252574,506.755109,447.471201,438.006746,475.058692,511.58568,403.287024,437.070436,405.3573,421.980406,826.096002,437.547151,479.618401
inSilico,INH1,B,loLIG2,1min,429.73994,465.3392,502.575773,468.748327,507.654831,424.474093,463.265503,524.929475,499.238519,462.130645,467.655143,437.354396,517.285966,498.997542,473.905277,491.671945,437.597169,719.237939,534.316456,402.170656
inSilico,INH1,C,loLIG2,1min,434.210909,431.976565,453.818409,426.439611,420.565535,454.006194,414.378806,459.794516,531.38547,483.605725,438.138446,416.831979,502.526367,471.613423,493.759766,446.282876,471.516873,726.143644,505.242004,460.409854
inSilico,INH1,A,hiLIG2,1min,372.861139,503.591775,488.370724,423.068506,485.307128,788.631796,502.445035,617.519558,582.278831,566.390446,663.983891,450.730148,473.377141,478.093532,466.45231,748.714276,628.258517,938.687417,575.089708,545.421637
inSilico,INH1,B,hiLIG2,1min,434.364024,493.824401,427.999849,464.454978,460.513331,703.662763,428.663503,604.020438,535.041988,475.02891,536.664018,509.989596,475.064809,444.209091,506.297085,767.145054,516.513624,727.743846,477.522498,531.117264
inSilico,INH1,C,hiLIG2,1min,422.088166,449.462913,431.561982,445.934073,487.556522,827.014474,578.617089,596.887586,572.521704,557.039153,523.907502,443.561039,473.442463,445.237322,443.660905,755.159466,472.172745,979.305969,513.305659,609.318814
inSilico,INH2,A,loLIG2,1min,424.642825,565.377065,483.61896,559.548705,505.817087,486.54115,432.029371,415.425683,493.92294,517.534599,504.819057,503.272098,442.081626,460.426655,435.647194,438.92675,429.275418,765.974273,459.156336,554.499403
inSilico,INH2,B,loLIG2,1min,401.585065,419.145978,490.742238,443.194986,454.150543,502.286296,386.459214,468.420046,512.902111,519.990432,513.403696,457.646125,539.492733,533.337077,510.60648,401.633615,449.721985,825.781092,507.285833,515.839341
inSilico,INH2,C,loLIG2,1min,501.572369,477.637964,498.200684,419.812515,448.370729,468.284823,421.066287,516.079908,538.432709,474.557053,483.614989,391.21934,463.039,520.045708,555.68382,543.33344,455.691224,848.97231,505.124664,529.715356
inSilico,INH2,A,hiLIG2,1min,513.687086,496.77297,515.319277,499.345008,464.0875,500.164602,466.958797,462.485238,523.463193,499.017954,436.009947,425.711544,611.62324,419.573411,509.976377,524.730188,493.559088,943.103995,457.590073,420.499424
inSilico,INH2,B,hiLIG2,1min,425.318555,497.477024,438.385286,554.075497,520.708424,527.263753,434.362047,464.129482,452.886516,554.118365,393.995919,422.710275,590.180339,390.186648,447.16533,445.620054,390.521833,815.104126,420.061121,458.791487
inSilico,INH2,C,hiLIG2,1min,433.445481,486.053458,462.524628,479.924165,529.789563,513.327029,461.756489,413.693198,571.895871,505.759146,406.48049,401.294761,550.924916,435.233514,504.096353,400.306886,480.346206,713.206366,415.405334,482.41222
inSilico,INH3,A,loLIG2,1min,446.360816,446.545838,439.350347,447.88167,423.988312,448.956441,474.201401,495.030287,556.824026,450.944254,471.967779,384.909046,561.342571,462.188251,492.065241,481.410401,497.549755,770.644826,410.98324,397.226163
inSilico,INH3,B,loLIG2,1min,412.327604,457.645519,490.743991,482.160049,498.641812,510.017622,453.865478,476.866337,540.086557,461.544821,495.795461,524.879818,524.697537,544.503487,443.450294,454.961502,452.81612,786.538885,460.809908,498.73835
inSilico,INH3,C,loLIG2,1min,453.539378,551.024068,398.147994,517.148888,474.498593,558.893949,463.878121,479.431899,590.401992,415.89304,515.380829,451.905233,493.695136,407.928756,422.809561,468.146053,461.271092,830.901623,439.966561,492.626589
inSilico,INH3,A,hiLIG2,1min,479.907214,483.421401,443.032964,492.864732,483.509342,1831.995475,494.433349,436.518892,538.797052,482.091707,502.282547,436.996154,591.842617,558.766268,502.501084,467.223316,499.883318,807.119338,502.91377,449.891427
inSilico,INH3,B,hiLIG2,1min,484.915869,415.481817,458.763672,480.058923,399.799203,1614.744039,409.935925,435.716115,527.513838,525.183595,534.047154,503.780889,577.889984,547.337379,426.970889,517.343203,625.204495,865.872026,530.461326,470.847767
inSilico,INH3,C,hiLIG2,1min,480.318406,555.625851,419.75033,447.813807,445.065499,1706.790678,474.325402,487.695063,483.690365,554.101203,518.58765,479.1997,592.46522,527.850147,492.965,463.827397,600.650203,858.464955,456.70554,451.519884
inSilico,,A,loLIG1+loLIG2,1min,536.948818,477.184769,464.126486,408.400287,453.710372,566.067234,422.017359,509.561143,555.777233,501.862523,483.691425,405.068592,552.13279,448.918982,513.695201,554.852206,515.263061,850.39123,496.912797,465.665801
inSilico,,B,loLIG1+loLIG2,1min,500.733274,442.363027,483.336284,461.712385,423.735742,652.580426,458.629916,547.218891,561.942578,445.898643,441.094564,403.145679,483.90123,482.395231,489.987464,602.589337,487.971601,786.843509,501.115314,477.65303
inSilico,,C,loLIG1+loLIG2,1min,471.391508,445.088018,424.823127,460.096316,416.854074,587.444404,451.631084,558.294759,604.298077,493.606604,418.679386,431.683676,634.239088,452.555795,508.119344,596.2745,537.339983,748.717981,501.402812,464.253137
inSilico,,A,hiLIG1+hiLIG2,1min,525.790927,416.735754,433.813631,499.767825,660.113369,868.769235,514.461066,791.789468,511.488443,434.243269,598.217217,1050.570153,542.320281,421.954565,607.699951,3176.642582,621.78677,867.02877,691.832829,499.698788
inSilico,,B,hiLIG1+hiLIG2,1min,502.714872,425.561773,556.39718,532.004874,746.810704,933.205161,498.18151,870.564294,503.64453,512.857464,659.439282,982.93875,581.894589,528.205769,701.37484,3082.486356,510.345331,739.206935,716.261748,492.586007
inSilico,,C,hiLIG1+hiLIG2,1min,489.695612,447.273531,451.338899,476.054676,567.920097,730.977404,472.010553,740.432978,518.413049,570.774298,615.440051,849.863888,511.579091,392.490664,587.552106,2872.660185,578.195571,728.384479,744.150794,614.960183
